EnvironmentConfiguration.model.engine.Register,Source EnvironmentConfiguration.model.engine.Register,Size,Type,Start,End
EAX,EAX,32,1,0,31
AX,EAX,16,2,0,15
AH,EAX,8,2,8,15
AL,EAX,8,2,0,7
EBX,EBX,32,1,0,31
BX,EBX,16,2,0,15
BH,EBX,8,2,8,15
BL,EBX,8,2,0,7
ECX,ECX,32,1,0,31
CX,ECX,16,2,0,15
CH,ECX,8,2,8,15
CL,ECX,8,2,0,7
EDX,EDX,32,1,0,31
DX,EDX,16,2,0,15
DH,EDX,8,2,8,15
DL,EDX,8,2,0,7
ESI,ESI,32,1,0,31
SI,ESI,16,1,0,15
EDI,EDI,32,1,0,31
DI,EDI,16,1,0,15
ESP,ESP,32,1,0,31
SP,ESP,16,1,0,15
EBP,EBP,32,1,0,31
BP,EBP,16,1,0,15
EIP,EIP,32,3,0,31
DS,DS,16,2,0,15
ES,ES,16,2,0,15
FS,FS,16,2,0,15
GS,GS,16,2,0,15
SS,SS,16,2,0,15